Severe Pain	zena, 45-54 Female  on Treatment for 10 years or more (Patient) 	5	5	5	Female	45-54	12/5/2011 9:00:41 PM	This works faster and better for my mirgraines than any other medicine
Pain	dabo12367, 35-44 Male  on Treatment for less than 1 month (Patient) 	5	5	5	Male	35-44	7/6/2009 9:06:41 AM	I was injected with Demerol after waking up after surgery for a detached retina. The surgery required a scleral buckle to be clamped around the injured eye so it would squeeze the eye in a way that would keep the eye an oblong shape so the retina would not separate from the back of the eye during healing. The pain was incredible. When I was injected with Demerol I fell asleep within two minutes and was out for ten hours. The Demerol brought immediate relief. This happened about 20 years ago but I still remember my one and only encounter with this drug,it is a heavy duty pain reliever that was a Godsend when I needed it.
Pain	baby chyanne, 45-54 Female  on Treatment for 1 to 6 months (Patient) 	2	3	4	Female	45-54	6/26/2009 7:18:19 PM	treatments with this type of drug, is not like what you are thinking. sorry, but, severe illinesses, such as b.c. crohnes, severe erlos danlos sydrome, pancreatites, birth defects, joint dislocations, renal tubular acidioses, brain tumor, in which cases i have had a lot more illinesses then i'm writing, i say, demoral can be hard on taking it for your severe pains. certain drugs, i too can't take, or my kidneys will shut down. but, this drug is highly, addictive, and the pills don't work the same as does a shot of a small dosage. i can't take morphine, nor simple over the counter drugs, it would just shut down my kidneys. i can almost say, i'm at my last shot? before another thing happens. be careful, its highly, addictive, and in my case, i don't have an addictive personality. i never drank in my life, nor use street drugs, not willing to get involved into medical marijauna to stopping my severe pain.i take a very small amount of this pain med, but, i wish, i could get another answere? i no longer can have tylonol its hard on my kidneys, not to mention, my liver. i'm ok. there tho. i think to each there own, as, whats best 4 the patient.
Pain	45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	45-54	5/13/2009 3:06:06 PM	I have a Chronic painful life and have been told this medication will be taken off the Pexis and out of the ER's I have many allergies to narcotics EXCEPT Demerol...what do I do???
Pain	dijeyjr, 25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	25-34	3/2/2009 6:16:27 PM	I had a surgery for ovarian cystostomy. I woke up in the recovery room in pain. I was given Demerol IVP and it was a wonder drug. My pain was gone and I had a deep and restful sleep.
Pain	Ricko, 45-54 Male  on Treatment for 10 years or more (Patient) 	5	5	5	Male	45-54	2/2/2009 7:07:13 PM	I use this shot as a last resort for relieving Migrains. It has worked better than percoset etc. It has always worked when taken. I take it with fimigan because it can cause neasua.
Pain	cindy, 19-24 Female  on Treatment for less than 1 month (Patient) 	2	1	1	Female	19-24	11/25/2008 6:37:28 PM	While my daughter received this medicine she had a serious allergic reaction to it.She suffered seizures with it and they continued for 4 days.This was very traumatic for her and her parents.
Other	cutepie100, 13-18 Female  on Treatment for less than 1 month (Caregiver) 	2	4	1	Female	13-18	11/22/2008 11:13:15 PM	hey i am 14 years old and i was with my grandmother while she  was in the hosoital. the nurses @ Dameron hospital gave it to her when she had a chest cold.!!!!!!!  they overdosed her and i did'nt have a very good experiance with it. she was just laying in her bed 4 about 3 day. her eyes were all glassed over and she went into a COMA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
Pain	scribblegenie, 45-54 Female  on Treatment for 2 to less than 5 years (Patient) 	5	5	5	Female	45-54	11/3/2008 11:30:55 PM	I have had severe migraines for more than 30 years and have taken probably every medication that is prescribed for them over the years.  The only thing that has consistently worked is Demerol. I am also unable to afford imitrex and other meds like it so Demerol has been a wonderful alternative.  I have to take it with Vistaril so that I don't vomit.  Without Vistaril there is no way that I would be able to take Demerol.  The vomiting would increase the pressure of my migraines and make them worse.  So the two together has been a godsend and I am so happy that my doctor has prescribed it for me.  I don't know what I would do otherwise.
Pain	C8S6B, 19-24 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	19-24	9/5/2008 1:08:50 AM	Was hospitilized after my 2nd ER trip for Gallstones and Pancreatitis. Was givin this in the ER, for the rest of that day, and after my surgery &amp; following days i was kept. It worked sooo great! The pain was really bad and every time after being given this through IV within seconds the pain was gone. Happy Patient!
Pain	25-34 Female  on Treatment for less than 1 month (Patient) 	5	2	5	Female	25-34	6/14/2008 1:01:26 PM	Ihad a migraine and had to go to the hospital. The nurse gave me demerol and it worked after two doses. Made me sleepy but took the pain away. She also gave me phenegran for nausea which was a blessing.
Other	dfwmifb, 45-54 Female  on Treatment for less than 1 month (Patient) 	5	5	1	Female	45-54	5/26/2008 1:19:44 AM	Allergic to this medication. Had surgery and I had a severe case of hives. Be careful
Other	sadielady, 45-54 Female  on Treatment for 1 to less than 2 years (Patient) 	4	1	4	Female	45-54	5/17/2008 10:27:54 PM	My doctor prescribes it for my migraines when all else fails, Relpax 40 mg. I am usually injected in the hip and it takes effect imediattley
Pain	zsmama, 25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	3	Female	25-34	5/5/2008 7:43:41 PM	I received this drug while in the hospital with abdominal problems along with a anti nausea drug. It works fast (was given IV) but stings like wholy heck! Make sure your nurse dilutes well and pushes it slow!
Additional Local Anesthesia	cakelady, 35-44 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	35-44	2/29/2008 3:23:51 PM	Used w/Versed for colonoscopy. I was out before the nurse finished putting the meds in my IV! It worked the way it was supposed to and I had no side effects. It was good.
Pain	19-24 Female  on Treatment for 6 months to less than 1 year (Patient) 	4	4	5	Female	19-24	2/20/2008 5:57:24 PM	I was given this medication for migraine headaches and it was so helpful. It did cause me to sleep almost immediately which is a problem depending on the time of day but it was a God send.
Pain	Chicken Little, 65-74 Male  on Treatment for less than 1 month (Patient) 	1	3	1	Male	65-74	2/6/2008 2:28:38 PM	In 1982 I burned my hand badly and went to ER. They gave me Demerol Inj. I passed out within a minute and my heart rate dropped to 40. ER staff reversed it with Narcan Inj and I recovered quickly with no after-effects. They told me not to take Demerol again. I haven't. 
Pain	sallyefb, 25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	25-34	1/24/2008 2:26:11 PM	I used this combined with Vicodin in an injection given by a RN. I had a migraine that had lasted for about a week and this stopped the pain, it did MAKE me sleep for about three hours but who cares the pain was gone, and i returned to my normal self! 
Other	serratia, 45-54 Female  on Treatment for 2 to less than 5 years	4	4	5	Female	45-54	1/13/2008 3:08:58 AM	I suffer from terrible migraines and Inj. dermerol is the only drug that will work for me. In 5-10 minutes the pain is gone.
Additional Agent to Induce General Anesthesia	25-34 Female  on Treatment for less than 1 month (Patient) 	5	5	5	Female	25-34	12/27/2007 11:03:03 PM	It immediately took away my pain and was used to induce anesthetic effects.
Pain	serialmom12, 45-54 Female  on Treatment for less than 1 month (Patient) 	3	3	1	Female	45-54	11/23/2007 10:56:59 AM	This drug while it did ease some of my pain after major gall bladder surgery caused me to have terrible, frightening hallucinations. I would not recommend it.
Pain	Jim C., 35-44 Male  on Treatment for less than 1 month (Patient) 	1	3	1	Male	35-44	9/21/2007 10:15:21 PM	After having a stroke, I was experiencing severe headaches while in the hospital. So they chose to give me a shot of Demerol IM. Within less than a minute I began getting very dizzy, and withing 20 minutes began vomiting profusely. This lasted for about 7 hours. After this event, I was continually dizzy, and at times nauseated for quite some time. I was later labeled as being highly allergic to this medication.
